Major clade,APGIV family,Full species name and authority,INTRO
Eudicots,Cunoniaceae,Eucryphia milliganii Hook.f. subsp. milliganii,
Eudicots,Cunoniaceae,"Eucryphia milliganii subsp. pubescens R.W.Barnes, G.J.Jord., R.S.Hill & McCoull",
Eudicots,Dilleniaceae,Hibbertia acicularis (Labill.) F.Muell.,
Eudicots,Dilleniaceae,Hibbertia appressa Toelken,
Eudicots,Dilleniaceae,Hibbertia basaltica A.M.Buchanan & Schah.,
Eudicots,Dilleniaceae,Hibbertia dispar Toelken,
Eudicots,Dilleniaceae,Hibbertia empetrifolia (DC.) Hoogland subsp. empetrifolia,
Eudicots,Dilleniaceae,Hibbertia ericifolia Hook.f. subsp. ericifolia,
Eudicots,Dilleniaceae,Hibbertia hirsuta (Hook.) Benth.,
Eudicots,Dilleniaceae,Hibbertia hirticalyx Toelken,
Eudicots,Dilleniaceae,Hibbertia mathinnicola Wapstra,
Eudicots,Dilleniaceae,Hibbertia procumbens (Labill.) DC.,
Eudicots,Dilleniaceae,Hibbertia prostrata Hook.,
Eudicots,Dilleniaceae,Hibbertia riparia (R.Br. ex DC.) Hoogland,
Eudicots,Dilleniaceae,Hibbertia rufa N.A.Wakef.,
Eudicots,Dilleniaceae,Hibbertia sericea (R.Br. ex DC.) Benth. var. sericea,
Eudicots,Dilleniaceae,Hibbertia virgata R.Br. ex DC.,
Eudicots,Droseraceae,Drosera arcturi Hook.,
Eudicots,Droseraceae,Drosera auriculata Backh. ex Planch.,
Eudicots,Droseraceae,Drosera binata Labill.,
Eudicots,Droseraceae,Drosera glanduligera Lehm.,
Eudicots,Droseraceae,Drosera gunniana (Planch.) de Salas,
Eudicots,Droseraceae,"Drosera hookeri R.P.Gibson, B.J.Conn & Conran",
Eudicots,Droseraceae,Drosera macrantha subsp. planchonii (Hook.f. ex Planch.) N.G.Marchant,
Eudicots,Droseraceae,Drosera murfetii Lowrie & Conran,
Eudicots,Droseraceae,Drosera peltata Thunb.,
Eudicots,Droseraceae,Drosera pygmaea DC.,
Eudicots,Droseraceae,Drosera spatulata Labill. var. spatulata,
Eudicots,Elaeocarpaceae,Aristotelia peduncularis (Labill.) Hook.f.,
Eudicots,Elaeocarpaceae,Elaeocarpus reticulatus Sm.,
Eudicots,Elaeocarpaceae,Tetratheca ciliata Lindl.,
Eudicots,Elaeocarpaceae,Tetratheca gunnii Hook.f.,
Eudicots,Elaeocarpaceae,Tetratheca labillardierei Joy Thomps.,
Eudicots,Elaeocarpaceae,Tetratheca pilosa Labill. subsp. pilosa,
Eudicots,Elaeocarpaceae,Tetratheca pilosa subsp. latifolia Joy Thomps.,
Eudicots,Elaeocarpaceae,Tetratheca procumbens Gunn ex Hook.f.,
Eudicots,Elaeocarpaceae,Tetratheca sp. Flinders Is. (T.Rudman HO510551) Tas Herbarium ,
Eudicots,Elaeocarpaceae,Tetratheca sp. Freycinet Pen. (A.C.Rozefelds 323) Tas Herbarium ,
Eudicots,Elatinaceae,Elatine gratioloides A.Cunn.,
Eudicots,Ericaceae,Acrothamnus hookeri (Sond.) Quinn,
Eudicots,Ericaceae,Acrothamnus montanus (R.Br.) Quinn,
Eudicots,Ericaceae,Acrotriche affinis DC.,
Eudicots,Ericaceae,Acrotriche cordata (Labill.) R.Br.,
Eudicots,Ericaceae,Acrotriche serrulata R.Br.,
Eudicots,Ericaceae,Androstoma verticillata (Hook.f.) Quinn,
Eudicots,Ericaceae,Arbutus unedo L.,i
Eudicots,Ericaceae,Archeria comberi Melville,
Eudicots,Ericaceae,Archeria eriocarpa Hook.f.,
Eudicots,Ericaceae,Archeria hirtella (Hook.f.) Hook.f.,
Eudicots,Ericaceae,Archeria minor Hook.f.,
Eudicots,Ericaceae,Archeria serpyllifolia Hook.f.,
Eudicots,Ericaceae,Brachyloma ciliatum (R.Br.) Benth.,
Eudicots,Ericaceae,Brachyloma depressum (F.Muell.) Benth.,
Eudicots,Ericaceae,Calluna vulgaris (L.) Hull,i
Eudicots,Ericaceae,Cyathodes glauca Labill.,
Eudicots,Ericaceae,Cyathodes platystoma C.M.Weiller,
Eudicots,Ericaceae,Cyathodes straminea R.Br.,
Eudicots,Ericaceae,Dracophyllum milliganii Hook.f.,
Eudicots,Ericaceae,Dracophyllum minimum F.Muell.,
Eudicots,Ericaceae,Epacris acuminata Benth.,
Eudicots,Ericaceae,Epacris apsleyensis Crowden,
Eudicots,Ericaceae,Epacris barbata Melville,
Eudicots,Ericaceae,Epacris cerasicollina Crowden,
Eudicots,Ericaceae,Epacris corymbiflora Hook.f.,
Eudicots,Ericaceae,Epacris curtisiae Jarman,
Eudicots,Ericaceae,Epacris exserta R.Br.,
Eudicots,Ericaceae,Epacris franklinii Hook.f.,
Eudicots,Ericaceae,Epacris glabella Jarman,
Eudicots,Ericaceae,Epacris grandis Crowden,
Eudicots,Ericaceae,Epacris graniticola Crowden,
Eudicots,Ericaceae,Epacris gunnii Hook.f.,
Eudicots,Ericaceae,Epacris heteronema Labill. var. heteronema,
Eudicots,Ericaceae,Epacris heteronema var. gigantea F.Muell.,
Eudicots,Ericaceae,Epacris impressa Labill.,
Eudicots,Ericaceae,Epacris lanuginosa Labill.,
Eudicots,Ericaceae,Epacris limbata K.J.Williams & F.Duncan,
Eudicots,Ericaceae,Epacris marginata Melville,
Eudicots,Ericaceae,Epacris moscaliana Crowden,
Eudicots,Ericaceae,Epacris mucronulata R.Br.,
Eudicots,Ericaceae,Epacris myrtifolia Labill.,
Eudicots,Ericaceae,Epacris navicularis Jarman,
Eudicots,Ericaceae,Epacris obtusifolia Sm.,
Eudicots,Ericaceae,Epacris paludosa R.Br.,
Eudicots,Ericaceae,Epacris petrophila Hook.f.,
Eudicots,Ericaceae,Epacris serpyllifolia R.Br.,
Eudicots,Ericaceae,Epacris stuartii Stapf,
Eudicots,Ericaceae,Epacris tasmanica W.M.Curtis,
Eudicots,Ericaceae,Epacris virgata Hook.f.,
Eudicots,Ericaceae,Erica arborea L.,i
Eudicots,Ericaceae,Erica baccans L.,i
Eudicots,Ericaceae,Erica caffra L.,i
Eudicots,Ericaceae,Erica holosericea Salisb.,i
Eudicots,Ericaceae,Erica lusitanica Rudolphi,i
Eudicots,Ericaceae,Erica scoparia L.,i
Eudicots,Ericaceae,Gaultheria depressa Hook.f.,
Eudicots,Ericaceae,Gaultheria hispida R.Br.,
Eudicots,Ericaceae,Gaultheria lanceolata Hook.f.,
Eudicots,Ericaceae,Gaultheria tasmanica (Hook.f.) D.J.Middleton,
Eudicots,Ericaceae,Leptecophylla abietina (Labill.) C.M.Weiller,
Eudicots,Ericaceae,Leptecophylla divaricata (Hook.f.) C.M.Weiller,
Eudicots,Ericaceae,Leptecophylla oxycedrus (Labill.) Jarman,
Eudicots,Ericaceae,Leptecophylla parvifolia (R.Br.) Jarman,
Eudicots,Ericaceae,Leptecophylla pendulosa (Jarman) C.M.Weiller,
Eudicots,Ericaceae,Leptecophylla pogonocalyx C.M.Weiller subsp. pogonocalyx,
Eudicots,Ericaceae,Leptecophylla pogonocalyx subsp. decipiens Jarman,
Eudicots,Ericaceae,Leucopogon affinis R.Br.,
Eudicots,Ericaceae,Leucopogon australis R.Br.,
Eudicots,Ericaceae,Leucopogon collinus (Labill.) R.Br.,
Eudicots,Ericaceae,Leucopogon oreophilus J.M.Powell,
Eudicots,Ericaceae,Leucopogon parviflorus (Andrews) Lindl.,
Eudicots,Ericaceae,Leucopogon pilifer N.A.Wakef.,
Eudicots,Ericaceae,Leucopogon virgatus (Labill.) R.Br. var. virgatus,
Eudicots,Ericaceae,Leucopogon virgatus var. brevifolius Benth.,
Eudicots,Ericaceae,Lissanthe strigosa subsp. subulata (R.Br.) J.M.Powell,
Eudicots,Ericaceae,Monotoca elliptica (Sm.) R.Br.,
Eudicots,Ericaceae,Monotoca empetrifolia R.Br.,
Eudicots,Ericaceae,Monotoca glauca (Labill.) Druce,
Eudicots,Ericaceae,Monotoca linifolia (Rodway) W.M.Curtis subsp. linifolia,
Eudicots,Ericaceae,Monotoca linifolia subsp. algida Jarman,
Eudicots,Ericaceae,Monotoca scoparia (Sm.) R.Br.,
Eudicots,Ericaceae,Monotoca submutica (Benth.) Jarman var. submutica,
Eudicots,Ericaceae,Monotoca submutica var. autumnalis Jarman,
Eudicots,Ericaceae,Montitega dealbata (R.Br.) C.M.Weiller,
Eudicots,Ericaceae,Pentachondra ericifolia Hook.f.,
Eudicots,Ericaceae,Pentachondra involucrata R.Br.,
Eudicots,Ericaceae,Pentachondra pumila (J.R.Forst. & G.Forst.) R.Br.,
Eudicots,Ericaceae,Planocarpa nitida (Jarman) C.M.Weiller,
Eudicots,Ericaceae,Planocarpa petiolaris (DC.) C.M.Weiller,
Eudicots,Ericaceae,Planocarpa sulcata (Mihaich) C.M.Weiller,
Eudicots,Ericaceae,Prionotes cerinthoides (Labill.) R.Br.,
Eudicots,Ericaceae,Rhododendron ponticum L.,i
Eudicots,Ericaceae,Richea × curtisiae A.M.Gray,
Eudicots,Ericaceae,Richea acerosa (Lindl.) F.Muell.,
Eudicots,Ericaceae,Richea alpina Menadue,
Eudicots,Ericaceae,Richea dracophylla R.Br.,
Eudicots,Ericaceae,Richea gunnii Hook.f.,
Eudicots,Ericaceae,Richea milliganii (Hook.f.) F.Muell.,
Eudicots,Ericaceae,Richea pandanifolia Hook.f. subsp. pandanifolia,
Eudicots,Ericaceae,Richea pandanifolia subsp. ramulosa Menadue,
Eudicots,Ericaceae,Richea procera (F.Muell.) F.Muell.,
Eudicots,Ericaceae,Richea scoparia Hook.f.,
Eudicots,Ericaceae,Richea sprengelioides (R.Br.) F.Muell.,
Eudicots,Ericaceae,Sprengelia distichophylla (Rodway) W.M.Curtis,
Eudicots,Ericaceae,Sprengelia incarnata Sm.,
Eudicots,Ericaceae,Sprengelia minima Crowden,
Eudicots,Ericaceae,Sprengelia montana R.Br.,
Eudicots,Ericaceae,Sprengelia propinqua A.Cunn. ex DC.,
Eudicots,Ericaceae,Sprengelia sp. Mt Read (R.K. Crowden 0802 006) Tas Herbarium ,
Eudicots,Ericaceae,Stenanthera pinifolia R.Br.,
Eudicots,Ericaceae,Styphelia adscendens R.Br.,
Eudicots,Ericaceae,Styphelia ericoides Sm.,
Eudicots,Ericaceae,Styphelia esquamata (R.Br.) Spreng.,
Eudicots,Ericaceae,Styphelia humifusa (Cav.) Pers.,
Eudicots,Ericaceae,Styphelia nesophila (DC.) Sleumer,
Eudicots,Ericaceae,Trochocarpa cunninghamii (DC.) W.M.Curtis,
Eudicots,Ericaceae,Trochocarpa disticha (Labill.) Spreng.,
Eudicots,Ericaceae,Trochocarpa gunnii (Hook.f.) Benth.,
Eudicots,Ericaceae,Trochocarpa thymifolia (R.Br.) Spreng.,
Eudicots,Escalloniaceae,Anopterus glandulosus Labill.,
Eudicots,Euphorbiaceae,Amperea xiphoclada (Sieber ex Spreng.) Druce var. xiphoclada,
Eudicots,Euphorbiaceae,Bertya tasmanica (Sond. & F.Muell.) Müll.Arg. subsp. tasmanica,
Eudicots,Euphorbiaceae,Beyeria lechenaultii (DC.) Baill.,
Eudicots,Euphorbiaceae,Beyeria viscosa (Labill.) Miq.,
Eudicots,Euphorbiaceae,Euphorbia cyparissias L.,i
Eudicots,Euphorbiaceae,Euphorbia exigua L.,i
Eudicots,Euphorbiaceae,Euphorbia helioscopia L.,i
Eudicots,Euphorbiaceae,Euphorbia lathyris L.,i
Eudicots,Euphorbiaceae,Euphorbia oblongata Griseb.,i
Eudicots,Euphorbiaceae,Euphorbia paralias L.,i
Eudicots,Euphorbiaceae,Euphorbia peplus L.,i
Eudicots,Euphorbiaceae,Euphorbia stricta L.,i
Eudicots,Euphorbiaceae,Ricinocarpos pinifolius Desf.,
Eudicots,Fabaceae,Acacia acinacea Lindl.,?i
Eudicots,Fabaceae,Acacia axillaris Benth.,
Eudicots,Fabaceae,Acacia baileyana F.Muell.,i
Eudicots,Fabaceae,Acacia dealbata Link subsp. dealbata,
Eudicots,Fabaceae,Acacia decurrens Willd.,i
Eudicots,Fabaceae,Acacia derwentiana A.M.Gray,
Eudicots,Fabaceae,Acacia floribunda (Vent.) Willd.,i
Eudicots,Fabaceae,Acacia genistifolia Link,
Eudicots,Fabaceae,Acacia gunnii Benth.,
Eudicots,Fabaceae,Acacia howittii F.Muell.,i
Eudicots,Fabaceae,Acacia leprosa var. graveolens Maslin & D.J.Murphy,
Eudicots,Fabaceae,Acacia longifolia (Andrews) Willd. subsp. longifolia,
Eudicots,Fabaceae,Acacia longifolia subsp. sophorae (Labill.) Court,
Eudicots,Fabaceae,Acacia mearnsii De Wild.,
Eudicots,Fabaceae,Acacia melanoxylon R.Br.,
Eudicots,Fabaceae,Acacia mucronata subsp. dependens (Hook.f.) Court,
Eudicots,Fabaceae,Acacia mucronata subsp. longifolia (Benth.) Court,
Eudicots,Fabaceae,Acacia mucronata Willd. ex H.L.Wendl. subsp. mucronata,
Eudicots,Fabaceae,Acacia myrtifolia (Sm.) Willd.,
Eudicots,Fabaceae,Acacia paradoxa DC.,i
Eudicots,Fabaceae,Acacia pataczekii D.I.Morris,
Eudicots,Fabaceae,Acacia pravissima F.Muell. ex Benth.,i
Eudicots,Fabaceae,Acacia provincialis A.Camus,i
Eudicots,Fabaceae,Acacia pycnantha Benth.,i
Eudicots,Fabaceae,Acacia retinodes Schltdl.,i
Eudicots,Fabaceae,Acacia riceana Hensl.,
Eudicots,Fabaceae,Acacia siculiformis A.Cunn. ex Benth.,
Eudicots,Fabaceae,Acacia sp. Sugarloaf (A.Moscal 8301) Tas Herbarium ,
Eudicots,Fabaceae,Acacia stricta (Andrews) Willd.,
Eudicots,Fabaceae,Acacia suaveolens (Sm.) Willd.,
Eudicots,Fabaceae,Acacia terminalis (Salisb.) J.F.Macbr.,
Eudicots,Fabaceae,Acacia ulicifolia (Salisb.) Court,
Eudicots,Fabaceae,Acacia uncifolia (J.M.Black) O'Leary,
Eudicots,Fabaceae,Acacia verticillata (L'Hér.) Willd. subsp. verticillata,
Eudicots,Fabaceae,Acacia verticillata subsp. ovoidea (Benth.) Court,
Eudicots,Fabaceae,Acacia verticillata subsp. ruscifolia (A.Cunn. ex G.Don) Court,
Eudicots,Fabaceae,Almaleea subumbellata (Hook.) Crisp & P.H.Weston,
Eudicots,Fabaceae,Aotus ericoides (Vent.) G.Don,
Eudicots,Fabaceae,Bossiaea cinerea R.Br.,
Eudicots,Fabaceae,Bossiaea cordifolia Sweet,
Eudicots,Fabaceae,Bossiaea cordigera Benth. ex Hook.f.,
Eudicots,Fabaceae,Bossiaea heterophylla Vent.,
Eudicots,Fabaceae,Bossiaea prostrata R.Br.,
Eudicots,Fabaceae,Bossiaea riparia A.Cunn. ex Benth.,
Eudicots,Fabaceae,Bossiaea tasmanica I.Thomps.,
Eudicots,Fabaceae,Callistachys lanceolata Vent.,i
Eudicots,Fabaceae,Chamaecytisus palmensis (Christ) F.A.Bisby & K.W.Nicholls,i
Eudicots,Fabaceae,Cullen microcephalum (Rchb. ex Kunze) J.W.Grimes,
Eudicots,Fabaceae,Cytisus multiflorus (L'Hér.) Sweet,i
Eudicots,Fabaceae,Cytisus scoparius (L.) Link,i
Eudicots,Fabaceae,Daviesia latifolia R.Br.,
Eudicots,Fabaceae,Daviesia sejugata G.Chandler & Crisp,
Eudicots,Fabaceae,Daviesia ulicifolia Andrews subsp. ulicifolia,
Eudicots,Fabaceae,Daviesia ulicifolia subsp. ruscifolia (A.Cunn. ex Benth.) G.Chandler & Crisp,
Eudicots,Fabaceae,Desmodium gunnii Benth. ex Hook.f.,
Eudicots,Fabaceae,Desmodium varians (Labill.) G.Don,
Eudicots,Fabaceae,Dillwynia cinerascens R.Br.,
Eudicots,Fabaceae,Dillwynia glaberrima Sm.,
Eudicots,Fabaceae,Dillwynia sericea A.Cunn.,
Eudicots,Fabaceae,Dipogon lignosus (L.) Verdc.,i
Eudicots,Fabaceae,Eutaxia microphylla (R.Br.) C.H.Wright & Dewar,
Eudicots,Fabaceae,Genista × spachiana Webb,i
Eudicots,Fabaceae,Genista linifolia L.,i
Eudicots,Fabaceae,Genista monspessulana (L.) L.A.S.Johnson,i
Eudicots,Fabaceae,Genista stenopetala Webb & Berthel.,i
Eudicots,Fabaceae,Glycine clandestina J.C.Wendl.,
Eudicots,Fabaceae,Glycine latrobeana (Meisn.) Benth.,
Eudicots,Fabaceae,Glycine microphylla (Benth.) Tindale,
Eudicots,Fabaceae,Glycine tabacina (Labill.) Benth.,
Eudicots,Fabaceae,Gompholobium ecostatum Kuchel,
Eudicots,Fabaceae,Gompholobium huegelii Benth.,
Eudicots,Fabaceae,Goodia lotifolia Salisb.,
Eudicots,Fabaceae,Goodia pubescens Sims,
Eudicots,Fabaceae,Hardenbergia violacea (Schneev.) Stearn,
Eudicots,Fabaceae,Hovea corrickiae J.H.Ross,
Eudicots,Fabaceae,Hovea heterophylla A.Cunn. ex Hook.f.,
Eudicots,Fabaceae,Hovea magnibractea I.Thomps.,
Eudicots,Fabaceae,Hovea montana (Hook.f.) J.H.Ross,
Eudicots,Fabaceae,Hovea tasmanica I.Thomps. & J.H.Ross,
Eudicots,Fabaceae,Indigofera australis Willd. subsp. australis,
Eudicots,Fabaceae,Kennedia nigricans Lindl.,i
Eudicots,Fabaceae,Kennedia prostrata R.Br.,
Eudicots,Fabaceae,Kennedia rubicunda (Schneev.) Vent.,i
Eudicots,Fabaceae,Laburnum anagyroides Medik.,i
Eudicots,Fabaceae,Lathyrus latifolius L.,i
Eudicots,Fabaceae,Lathyrus nissolia L.,i
Eudicots,Fabaceae,Lathyrus tingitanus L.,i
Eudicots,Fabaceae,Lotus angustissimus L.,i
Eudicots,Fabaceae,Lotus australis Andrews,
Eudicots,Fabaceae,Lotus corniculatus L. var. corniculatus,i
Eudicots,Fabaceae,Lotus corniculatus var. tenuifolius L.,i
Eudicots,Fabaceae,Lotus subbiflorus Lag.,i
Eudicots,Fabaceae,Lotus uliginosus Schkuhr,i
Eudicots,Fabaceae,Lupinus × regalis Bergmans,i
Eudicots,Fabaceae,Lupinus angustifolius L.,i
Eudicots,Fabaceae,Lupinus arboreus Sims,i
Eudicots,Fabaceae,Medicago arabica (L.) Huds.,i
Eudicots,Fabaceae,Medicago arborea L.,i
Eudicots,Fabaceae,Medicago lupulina L.,i
Eudicots,Fabaceae,Medicago minima (L.) L. ex Bartal.,i
Eudicots,Fabaceae,Medicago polymorpha L.,i
Eudicots,Fabaceae,Medicago sativa L.,i
Eudicots,Fabaceae,Medicago sativa nothosubsp. × varia (Martyn) Arcang.,i
Eudicots,Fabaceae,Medicago scutellata (L.) Mill.,i
Eudicots,Fabaceae,Melilotus albus Medik.,i
Eudicots,Fabaceae,Melilotus indicus (L.) All.,i
Eudicots,Fabaceae,Melilotus officinalis (L.) Lam.,i
Eudicots,Fabaceae,Ononis spinosa L.,i
Eudicots,Fabaceae,Ornithopus compressus L.,i
Eudicots,Fabaceae,Ornithopus perpusillus L.,i
Eudicots,Fabaceae,Ornithopus pinnatus (Mill.) Druce,i
Eudicots,Fabaceae,Ornithopus sativus Brot.,i
Eudicots,Fabaceae,Oxylobium arborescens R.Br.,
Eudicots,Fabaceae,Oxylobium ellipticum (Vent.) R.Br.,
Eudicots,Fabaceae,Oxylobium oxylobiodes (F.Muell.) Crisp & R.L.Barrett,
Eudicots,Fabaceae,Paraserianthes lophantha (Willd.) I.C.Nielsen subsp. lophantha,i
Eudicots,Fabaceae,Phyllota diffusa (Hook.f.) F.Muell.,
Eudicots,Fabaceae,Platylobium obtusangulum Hook.,
Eudicots,Fabaceae,Platylobium parviflorum Sm.,
Eudicots,Fabaceae,Platylobium triangulare R.Br.,
Eudicots,Fabaceae,Podalyria sericea (Andrews) R.Br.,i
Eudicots,Fabaceae,Psoralea arborea Sims,i
Eudicots,Fabaceae,Psoralea pinnata L.,i
Eudicots,Fabaceae,Pultenaea daphnoides J.C.Wendl.,
Eudicots,Fabaceae,Pultenaea dentata Labill.,
Eudicots,Fabaceae,Pultenaea fasciculata Benth.,
Eudicots,Fabaceae,Pultenaea gunnii Benth. subsp. gunnii,
Eudicots,Fabaceae,Pultenaea humilis Benth. ex Hook.f.,
Eudicots,Fabaceae,Pultenaea juniperina Labill.,
Eudicots,Fabaceae,Pultenaea mollis Lindl.,
Eudicots,Fabaceae,Pultenaea pedunculata Hook.,
Eudicots,Fabaceae,Pultenaea prostrata Benth. ex Hook.f.,
Eudicots,Fabaceae,Pultenaea sericea (Benth.) Corrick,
Eudicots,Fabaceae,Pultenaea stricta Sims,
Eudicots,Fabaceae,Pultenaea tenuifolia R.Br. & Sims,
Eudicots,Fabaceae,Securigera varia (L.) Lassen,i
Eudicots,Fabaceae,Spartium junceum L.,i
Eudicots,Fabaceae,Sphaerolobium minus Labill.,
Eudicots,Fabaceae,Sphaerolobium vimineum Sm.,
Eudicots,Fabaceae,Stonesiella selaginoides (Hook.f.) Crisp & P.H.Weston,
Eudicots,Fabaceae,Swainsona lessertiifolia DC.,
Eudicots,Fabaceae,Trifolium alexandrinum L.,i
Eudicots,Fabaceae,Trifolium angustifolium L.,i
Eudicots,Fabaceae,Trifolium arvense L.,i
Eudicots,Fabaceae,Trifolium campestre Schreb.,i
Eudicots,Fabaceae,Trifolium cernuum Brot.,i
Eudicots,Fabaceae,Trifolium dubium Sibth.,i
Eudicots,Fabaceae,Trifolium fragiferum L.,i
Eudicots,Fabaceae,Trifolium glomeratum L.,i
Eudicots,Fabaceae,Trifolium hybridum L.,i
Eudicots,Fabaceae,Trifolium incarnatum L.,i
Eudicots,Fabaceae,Trifolium lappaceum L.,i
Eudicots,Fabaceae,Trifolium micranthum Viv.,i
Eudicots,Fabaceae,Trifolium ornithopodioides L.,i
Eudicots,Fabaceae,Trifolium pratense L.,i
Eudicots,Fabaceae,Trifolium repens L.,i
Eudicots,Fabaceae,Trifolium resupinatum L.,i
Eudicots,Fabaceae,Trifolium scabrum L.,i
Eudicots,Fabaceae,Trifolium squamosum L.,i
Eudicots,Fabaceae,Trifolium stellatum L.,i
Eudicots,Fabaceae,Trifolium striatum L.,i
Eudicots,Fabaceae,Trifolium subterraneum L.,i
Eudicots,Fabaceae,Trifolium suffocatum L.,i
Eudicots,Fabaceae,Trifolium tomentosum L.,i
Eudicots,Fabaceae,Trifolium vesiculosum Savi,i
Eudicots,Fabaceae,Ulex europaeus L.,i
Eudicots,Fabaceae,Vicia hirsuta (L.) Gray,i
Eudicots,Fabaceae,Vicia sativa L. subsp. sativa,i
Eudicots,Fabaceae,Vicia sativa subsp. nigra (L.) Ehrh.,i
Eudicots,Fabaceae,Vicia tetrasperma (L.) Schreb.,i
Eudicots,Fabaceae,Vicia villosa subsp. eriocarpa (Hausskn.) P.W.Ball,i
Eudicots,Fabaceae,Viminaria juncea (Schrad. & J.C.Wendl.) Hoffmanns.,
Eudicots,Frankeniaceae,Frankenia pauciflora var. gunnii Summerh.,
Eudicots,Gentianaceae,Centaurium erythraea Rafn,i
Eudicots,Gentianaceae,Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch ex Janch.,i
Eudicots,Gentianaceae,Cicendia filiformis (L.) Delarbre,i
Eudicots,Gentianaceae,Gentianella brevisepala (L.G.Adams) Glenny,
Eudicots,Gentianaceae,Gentianella demissa (L.G.Adams) Glenny,
Eudicots,Gentianaceae,Gentianella diemensis (Griseb.) J.H.Willis subsp. diemensis,
Eudicots,Gentianaceae,Gentianella diemensis subsp. plantaginea (L.G.Adams) Glenny,
Eudicots,Gentianaceae,Gentianella eichleri (L.G.Adams) Glenny,
Eudicots,Gentianaceae,Gentianella gunniana (L.G.Adams) Glenny,
Eudicots,Gentianaceae,Gentianella pleurogynoides (Griseb.) Glenny subsp. pleurogynoides,
Eudicots,Gentianaceae,Gentianella pleurogynoides subsp. milliganii (L.G.Adams) Glenny,
Eudicots,Gentianaceae,Gentianella polysperes (L.G.Adams) Glenny,
Eudicots,Gentianaceae,Schenkia australis (R.Br.) G.Mans.,
Eudicots,Gentianaceae,Sebaea albidiflora F.Muell.,
Eudicots,Gentianaceae,Sebaea ovata (Labill.) R.Br.,
Eudicots,Geraniaceae,Erodium botrys (Cav.) Bertol.,i
Eudicots,Geraniaceae,Erodium cicutarium (L.) L'Hér. ex Aiton,i
Eudicots,Geraniaceae,Erodium maritimum L'Hér. ex Aiton,i
Eudicots,Geraniaceae,Erodium moschatum (L.) L'Hér. ex Aiton,i
Eudicots,Geraniaceae,Geranium brevicaule Hook.,
Eudicots,Geraniaceae,Geranium dissectum L.,i
Eudicots,Geraniaceae,Geranium homeanum Turcz.,?i
Eudicots,Geraniaceae,Geranium molle L.,i
Eudicots,Geraniaceae,Geranium potentilloides L'Hér. ex DC. var. potentilloides,
Eudicots,Geraniaceae,Geranium retrorsum L'Hér. ex DC.,
Eudicots,Geraniaceae,Geranium rotundifolium L.,i
Eudicots,Geraniaceae,Geranium solanderi Carolin,
Eudicots,Geraniaceae,Geranium sp. Pale Pink Flowers (M.Gray 5847) Vic. Herbarium ,
Eudicots,Geraniaceae,Geranium yeoi Aedo & Muñoz Garm.,i
Eudicots,Geraniaceae,Pelargonium × asperum Ehrh. ex Willd.,i
Eudicots,Geraniaceae,Pelargonium × domesticum L.H.Bailey,i
Eudicots,Geraniaceae,Pelargonium australe Willd.,
Eudicots,Geraniaceae,Pelargonium capitatum (L.) L'Hér. ex Aiton,i
Eudicots,Geraniaceae,Pelargonium inodorum Willd.,
Eudicots,Geraniaceae,Pelargonium littorale Hügel ex Endl.,
Eudicots,Goodeniaceae,Brunonia australis Sm. ex R.Br.,
Eudicots,Goodeniaceae,Dampiera stricta (Sm.) R.Br.,
Eudicots,Goodeniaceae,Goodenia elongata Labill.,
Eudicots,Goodeniaceae,Goodenia geniculata R.Br.,
Eudicots,Goodeniaceae,Goodenia humilis R.Br.,
Eudicots,Goodeniaceae,Goodenia lanata R.Br.,
Eudicots,Goodeniaceae,Goodenia montana (Hook.f.) K.A.Sheph.,
Eudicots,Goodeniaceae,Goodenia ovata Sm.,
Eudicots,Goodeniaceae,Goodenia paradoxa (R.Br.) K.A.Sheph.,
Eudicots,Goodeniaceae,Goodenia radicans (Cav.) Pers.,
Eudicots,Goodeniaceae,Scaevola aemula R.Br.,
Eudicots,Goodeniaceae,Scaevola albida (Sm.) Druce,
Eudicots,Goodeniaceae,Scaevola hookeri (de Vriese) F.Muell. ex Hook.f.,
Eudicots,Griseliniaceae,Griselinia littoralis (Raoul) Raoul,i
Eudicots,Grossulariaceae,Ribes sanguineum Pursh,i
Eudicots,Gunneraceae,Gunnera cordifolia (Hook.f.) Hook.f.,
Eudicots,Gunneraceae,Gunnera tinctoria (Molina) Mirb.,i
Eudicots,Gyrostemonaceae,Gyrostemon thesioides (Hook.f.) A.S.George,
Eudicots,Haloragaceae,Gonocarpus humilis Orchard,
Eudicots,Haloragaceae,Gonocarpus micranthus Thunb. subsp. micranthus,
Eudicots,Haloragaceae,Gonocarpus montanus (Hook.f.) Orchard,
Eudicots,Haloragaceae,Gonocarpus serpyllifolius Hook.f.,
Eudicots,Haloragaceae,Gonocarpus tetragynus Labill.,
Eudicots,Haloragaceae,Gonocarpus teucrioides DC.,
Eudicots,Haloragaceae,Haloragis aspera Lindl.,
Eudicots,Haloragaceae,Haloragis heterophylla Brongn.,
Eudicots,Haloragaceae,Haloragis myriocarpa Orchard,
Eudicots,Haloragaceae,Meionectes brownii Hook.f.,
Eudicots,Haloragaceae,Myriophyllum amphibium Labill.,
Eudicots,Haloragaceae,Myriophyllum aquaticum (Vell.) Verdc.,i
Eudicots,Haloragaceae,Myriophyllum austropygmaeum Orchard,
Eudicots,Haloragaceae,Myriophyllum crispatum Orchard,?i
